#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
OTU_270	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_271	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_272	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
OTU_273	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
OTU_274	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_275	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_276	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_277	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
OTU_278	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
OTU_279	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
OTU_28	0	0	0	7691	0	0	0	0	1161	796	0	0	0	1818	0	0	0	0	0
OTU_280	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
OTU_281	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_282	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_283	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
OTU_284	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
OTU_285	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
OTU_286	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
OTU_287	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
OTU_288	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
OTU_289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
OTU_29	0	0	0	0	0	0	0	0	3481	0	0	0	0	0	0	0	0	0	0
