#OTU ID	SRR19509437	SRR19509413	SRR19509414	SRR19509409	SRR19509419	SRR19509420	SRR19509430	SRR19509434	SRR19509427	SRR19509407	SRR19509435	SRR19509417	SRR19509422	SRR19509428	SRR19509433	SRR19509411	SRR19509408	SRR19509410	SRR19509415	SRR19509429	SRR19509403	SRR19509423	SRR19509416	SRR19509421	SRR19509412	SRR19509424	SRR19509425	SRR19509404	SRR19509405	SRR19509432	SRR19509436	SRR19509406
Zotu508	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	5	0	3	0	0	0	0	0
Zotu724	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0
Zotu699	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	4	0	0	0	2	1	0	0	0	0
Zotu225	4	0	0	0	0	3	0	8	15	0	0	4	0	2	4	4	0	0	0	4	0	0	2	0	0	0	11	1	0	0	1	0
Zotu334	2	2	0	0	0	6	0	5	0	0	4	0	0	1	1	0	1	0	1	2	0	0	2	0	3	11	6	0	0	0	0	0
Zotu242	4	0	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	0	8	0	6	0	10	0	7	9	0	0	0	0
Zotu557	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0
Zotu674	2	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu196	5	0	0	0	0	0	0	0	0	0	0	8	0	1	0	16	0	0	0	0	1	0	1	0	18	0	20	0	0	0	0	0
Zotu815	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	8	0	0	0	0
Zotu825	1	1	0	1	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0
Zotu561	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	9	0	8	0	0	0	0	0
Zotu137	3	1	0	4	1	0	0	6	1	0	0	5	0	2	4	8	0	0	0	10	2	0	18	0	27	0	17	10	0	2	0	0
Zotu478	7	1	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0
Zotu287	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	11	0	0	0	15	3	0	0	0	0
Zotu796	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu245	3	0	0	0	0	0	0	0	0	0	0	3	0	1	0	24	0	0	0	0	2	0	0	0	2	0	9	0	0	0	0	0
Zotu494	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0
Zotu67	2	8	1	15	2	6	3	8	55	4	35	13	26	1	27	33	0	10	4	12	16	13	23	0	47	42	21	0	0	1	3	2
Zotu380	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	13	0	0	0	4	2	0	0	0	0
