#OTU ID	SRR6920027	SRR6920028	SRR6920030	SRR6920033	SRR6920034	SRR6920036	SRR6920038	SRR6920041	SRR6920042	SRR6920046	SRR6920050	SRR6920052	SRR6920056	SRR6920058	SRR6920059	SRR6920074	SRR6920078	SRR6920086	SRR6920089	SRR6920091	SRR6920093	SRR6920029	SRR6920031	SRR6920032	SRR6920035	SRR6920045	SRR6920047	SRR6920048	SRR6920049	SRR6920051	SRR6920053	SRR6920057	SRR6920064	SRR6920070	SRR6920071	SRR6920072	SRR6920075	SRR6920077	SRR6920085	SRR6920087	SRR6920088	SRR6920090	SRR6920092	SRR6920094
Zotu1998	2	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
Zotu2826	1	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	28	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
Zotu2583	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	36	0	0	0	0	0	0	1
Zotu2110	6	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	45
Zotu863	3	0	0	0	0	0	0	14	0	0	0	6	0	0	0	6	2	0	0	0	1	0	5	4	0	0	0	0	3	0	0	3	2	4	12	0	2	138	3	9	0	0	0	0
Zotu7915	2	0	0	1	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	26	0	4	7	5	1	11	0	0
Zotu1205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0
Zotu2510	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	1	0	0	0	0	0	0	0
Zotu2485	2	0	0	0	0	0	0	4	0	0	0	3	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	2	2	0	0	32	0	3	3	0	0	0
Zotu1572	2	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
Zotu4934	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Zotu1730	1	0	0	0	0	0	0	45	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	6	2	0	0	0	0	0	15
Zotu2647	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
Zotu3843	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	27
Zotu2336	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	1
Zotu5799	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Zotu3689	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0
Zotu1808	3	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	19	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
Zotu563	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	280	0	0	0	0	0	0	5
Zotu6278	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
Zotu567	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	374	0	0	0	0	0	0	0	0	0
Zotu3781	1	0	0	0	0	2	0	4	0	0	0	0	0	0	3	0	1	0	0	0	31	0	0	4	0	0	0	0	0	0	0	11	0	4	0	0	0	9	0	0	2	0	0	0
Zotu2623	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	2	0	0	31	1	3	0	0	0	0
Zotu2375	1	0	0	0	0	0	0	36	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	1	0	4	2	0	0	0	0	0	4
Zotu805	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	167	0	0	0	0	0	0	4
Zotu3742	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
Zotu7751	1	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Zotu5784	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	2	0	0	1	19	0	0	5	0	0	0	0	0	0	0	5	0	1	0	0	0	7	1	0	0	0	0	0
Zotu4079	2	0	0	0	0	0	1	6	0	0	0	0	0	0	1	18	4	0	0	0	1	0	0	2	0	0	0	0	2	0	0	5	1	28	2	0	0	4	1	1	0	0	0	0
Zotu4326	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	3	0	0	1	3	0	0	0	0	9	0	0	0	0	0	0
Zotu3558	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	13	1	5	2	0	0	0
Zotu3021	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0
Zotu3302	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	23	0	1	1	0	0	0
Zotu442	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	9	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	8
Zotu2968	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0
Zotu495	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0
Zotu2692	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
Zotu2004	1	0	0	0	1	1	1	2	0	0	0	2	0	0	0	57	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	9	0	0	0	0	4	0	0	0
Zotu3352	2	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	1	1	0	0	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Zotu4817	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	13	0	0	0	1	0	0	0	0	0
Zotu3217	2	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	28	0	1	0	0	0	0
Zotu3835	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Zotu2469	2	0	0	0	0	0	1	0	1	0	0	0	9	0	0	0	0	18	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
Zotu4997	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Zotu5013	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu4371	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Zotu2605	1	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	1	0	0	0	51	0	0	0	0	0	0	0	1	0	0	11	0	0	1	0	0	4	0	0	0	0	0	0
Zotu824	2	0	0	0	0	0	0	0	261	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	0	0	0
Zotu2057	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	19	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0
