#OTU ID	SRR15655215	SRR15655218	SRR15655228	SRR15655231	SRR15655234	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655254	SRR15655258	SRR15655264	SRR15655267	SRR15655268	SRR15655274	SRR15655287	SRR15655291	SRR15655294	SRR15655300
OTU_242	0	0	5	6	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0
OTU_243	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
OTU_244	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
OTU_245	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
OTU_246	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
OTU_247	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
OTU_248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
OTU_249	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0
OTU_25	0	442	0	0	0	0	0	0	0	0	0	0	0	12	0	0	157	0	0
OTU_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU_251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU_252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
