"testing_cohort","training_cohort","pipeline","level","AUC"
"Angel","Tsementzi (N=29)","Gressel","order",0.675503131232871
"Antonio","Tsementzi (N=29)","Gressel","order",0.680477158918455
"Gressel","Tsementzi (N=29)","Gressel","order",0.92661928539297
"Walsh","Tsementzi (N=29)","Gressel","order",0.463308577169561
"Angel","Tsementzi (N=29)","Gressel","family",0.701508757057387
"Antonio","Tsementzi (N=29)","Gressel","family",0.560179715365474
"Gressel","Tsementzi (N=29)","Gressel","family",0.784826634963477
"Walsh","Tsementzi (N=29)","Gressel","family",0.453757480808668
"Angel","Tsementzi (N=29)","Gressel","genus",0.656593929595313
"Antonio","Tsementzi (N=29)","Gressel","genus",0.604176568185856
"Gressel","Tsementzi (N=29)","Gressel","genus",0.911656401366447
"Walsh","Tsementzi (N=29)","Gressel","genus",0.445873539606477
"Angel","Tsementzi (N=29)","Tsementzi","phylum",0.663563233125826
"Antonio","Tsementzi (N=29)","Tsementzi","phylum",0.309048821548822
"Gressel","Tsementzi (N=29)","Tsementzi","phylum",0.757392102889707
"Walsh","Tsementzi (N=29)","Tsementzi","phylum",0.491314381671891
"Tsementzi","Tsementzi (N=29)","Tsementzi","phylum",0.345397657897658
"Angel","Tsementzi (N=29)","Tsementzi","class",0.736890090450494
"Antonio","Tsementzi (N=29)","Tsementzi","class",0.471747234247234
"Gressel","Tsementzi (N=29)","Tsementzi","class",0.734469607266612
"Walsh","Tsementzi (N=29)","Tsementzi","class",0.510946821284815
"Tsementzi","Tsementzi (N=29)","Tsementzi","class",0.334689153439153
"Angel","Tsementzi (N=29)","Tsementzi","order",0.680788824613383
"Antonio","Tsementzi (N=29)","Tsementzi","order",0.588480038480038
"Gressel","Tsementzi (N=29)","Tsementzi","order",0.824832553002319
"Walsh","Tsementzi (N=29)","Tsementzi","order",0.512207365845345
"Tsementzi","Tsementzi (N=29)","Tsementzi","order",0.333745421245421
"Angel","Tsementzi (N=29)","Tsementzi","family",0.705144933008531
"Antonio","Tsementzi (N=29)","Tsementzi","family",0.674843674843675
"Gressel","Tsementzi (N=29)","Tsementzi","family",0.78906936740985
"Walsh","Tsementzi (N=29)","Tsementzi","family",0.471011686124829
"Tsementzi","Tsementzi (N=29)","Tsementzi","family",0.41542809042809
"Angel","Tsementzi (N=29)","Tsementzi","genus",0.793361180769491
"Antonio","Tsementzi (N=29)","Tsementzi","genus",0.161363636363636
"Gressel","Tsementzi (N=29)","Tsementzi","genus",0.781968596902632
"Walsh","Tsementzi (N=29)","Tsementzi","genus",0.536586151824627
"Tsementzi","Tsementzi (N=29)","Tsementzi","genus",0.355488955488955
"Angel","Walsh (N=99)","Angel","phylum",0.766898385149139
"Antonio","Walsh (N=99)","Angel","phylum",0.810341581495428
"Gressel","Walsh (N=99)","Angel","phylum",0.637045661984193
"Tsementzi","Walsh (N=99)","Angel","phylum",0.188771645021645
"Angel","Walsh (N=99)","Angel","class",0.801924648064354
"Antonio","Walsh (N=99)","Angel","class",0.726923076923077
"Gressel","Walsh (N=99)","Angel","class",0.759088011318102
"Tsementzi","Walsh (N=99)","Angel","class",0.339417433640123
"Angel","Walsh (N=99)","Angel","order",0.645833333333333
"Antonio","Walsh (N=99)","Angel","order",0.784615384615385
"Gressel","Walsh (N=99)","Angel","order",0.831754133628373
"Tsementzi","Walsh (N=99)","Angel","order",0.244719622148831
"Angel","Walsh (N=99)","Angel","family",0.809172441767731
"Antonio","Walsh (N=99)","Angel","family",0.861538461538462
"Gressel","Walsh (N=99)","Angel","family",0.77368700265252
"Tsementzi","Walsh (N=99)","Angel","family",0.286635598647849
"Angel","Walsh (N=99)","Angel","genus",0.0310819892473118
"Antonio","Walsh (N=99)","Angel","genus",0.672097774020851
"Gressel","Walsh (N=99)","Angel","genus",0.663835627973559
"Tsementzi","Walsh (N=99)","Angel","genus",0.233935112790575
"Angel","Walsh (N=99)","Antonio","phylum",0.702825278341274
"Antonio","Walsh (N=99)","Antonio","phylum",0.58105866763955
"Gressel","Walsh (N=99)","Antonio","phylum",0.898750597018647
"Tsementzi","Walsh (N=99)","Antonio","phylum",0.274416098718773
"Walsh","Walsh (N=99)","Antonio","phylum",0.470981663155447
"Angel","Walsh (N=99)","Antonio","class",0.732954048557692
"Antonio","Walsh (N=99)","Antonio","class",0.666130601424719
"Gressel","Walsh (N=99)","Antonio","class",0.604209569166466
"Tsementzi","Walsh (N=99)","Antonio","class",0.351139069665855
"Walsh","Walsh (N=99)","Antonio","class",0.444540096379481
"Angel","Walsh (N=99)","Antonio","order",0.866541354212247
"Antonio","Walsh (N=99)","Antonio","order",0.678874856080738
"Gressel","Walsh (N=99)","Antonio","order",0.823991345373058
"Tsementzi","Walsh (N=99)","Antonio","order",0.250969320528798
"Walsh","Walsh (N=99)","Antonio","order",0.480282105699023
"Angel","Walsh (N=99)","Antonio","family",0.730455944636418
"Antonio","Walsh (N=99)","Antonio","family",0.568106675459617
"Gressel","Walsh (N=99)","Antonio","family",0.875948601921767
"Tsementzi","Walsh (N=99)","Antonio","family",0.290547681131249
"Walsh","Walsh (N=99)","Antonio","family",0.382271712348455
"Angel","Walsh (N=99)","Antonio","genus",0.775959865406727
"Antonio","Walsh (N=99)","Antonio","genus",0.626738957529399
"Gressel","Walsh (N=99)","Antonio","genus",0.884125107347014
"Tsementzi","Walsh (N=99)","Antonio","genus",0.229850405078893
"Walsh","Walsh (N=99)","Antonio","genus",0.612126850907625
"Angel","Walsh (N=99)","Gressel","phylum",0.706244812705695
"Antonio","Walsh (N=99)","Gressel","phylum",0.54750887690278
"Gressel","Walsh (N=99)","Gressel","phylum",0.842731099412353
"Tsementzi","Walsh (N=99)","Gressel","phylum",0.349535457423336
"Angel","Walsh (N=99)","Gressel","class",0.686637085784155
"Antonio","Walsh (N=99)","Gressel","class",0.644347701331507
"Gressel","Walsh (N=99)","Gressel","class",0.795539700383685
"Tsementzi","Walsh (N=99)","Gressel","class",0.327486081895821
"Angel","Walsh (N=99)","Gressel","order",0.699905576994381
"Antonio","Walsh (N=99)","Gressel","order",0.646160740043212
"Gressel","Walsh (N=99)","Gressel","order",0.819526777578139
"Tsementzi","Walsh (N=99)","Gressel","order",0.309426145902825
"Angel","Walsh (N=99)","Gressel","family",0.664341860207798
"Antonio","Walsh (N=99)","Gressel","family",0.691192725403252
"Gressel","Walsh (N=99)","Gressel","family",0.878936929974413
"Tsementzi","Walsh (N=99)","Gressel","family",0.259055588557844
"Angel","Walsh (N=99)","Gressel","genus",0.633536730797401
"Antonio","Walsh (N=99)","Gressel","genus",0.635974734164779
"Gressel","Walsh (N=99)","Gressel","genus",0.759285012589813
"Tsementzi","Walsh (N=99)","Gressel","genus",0.326328394785565
"Angel","Walsh (N=99)","Tsementzi","phylum",0.796459026909349
"Antonio","Walsh (N=99)","Tsementzi","phylum",0.680102613435947
"Gressel","Walsh (N=99)","Tsementzi","phylum",0.849875411944377
"Tsementzi","Walsh (N=99)","Tsementzi","phylum",0.398257059367151
"Angel","Walsh (N=99)","Tsementzi","class",0.732739532800815
"Antonio","Walsh (N=99)","Tsementzi","class",0.636892736892737
