Feature ID	p;c;o;f;g;s
ASV_10440	d__Bacteria
ASV_10441	d__Bacteria
ASV_10442	d__Bacteria
ASV_10443	d__Bacteria
ASV_10444	d__Bacteria
ASV_10445	d__Bacteria
ASV_10446	d__Bacteria
ASV_10447	d__Bacteria
ASV_10448	d__Bacteria
ASV_10449	d__Bacteria
ASV_1045	d__Bacteria
ASV_10450	d__Bacteria
ASV_10451	d__Bacteria
ASV_10452	d__Bacteria
ASV_10453	d__Bacteria
ASV_10454	d__Bacteria
ASV_10455	d__Bacteria
ASV_10456	d__Bacteria
ASV_10457	d__Bacteria
ASV_10458	d__Bacteria
ASV_10459	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1046	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales
ASV_10460	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10461	d__Bacteria
ASV_10462	d__Bacteria
ASV_10463	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea;s__Defluviitalea phaphyphila
ASV_10464	d__Bacteria
ASV_10465	d__Bacteria
ASV_10466	d__Bacteria
ASV_10467	d__Bacteria
ASV_10468	d__Bacteria
ASV_10469	d__Bacteria
ASV_1047	d__Bacteria
ASV_10470	d__Bacteria
ASV_10471	d__Bacteria
ASV_10472	d__Bacteria
ASV_10473	d__Bacteria
ASV_10474	d__Bacteria
ASV_10475	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10476	d__Bacteria
ASV_10477	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10478	d__Bacteria
ASV_10479	d__Bacteria
ASV_1048	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia
ASV_10480	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10481	d__Bacteria
ASV_10482	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10483	d__Bacteria
ASV_10484	d__Bacteria
ASV_10485	d__Bacteria
ASV_10486	d__Bacteria
ASV_10487	d__Bacteria
ASV_10488	d__Bacteria
ASV_10489	d__Bacteria
ASV_1049	d__Bacteria;p__Firmicutes;c__Bacilli
ASV_10490	d__Bacteria
ASV_10491	d__Bacteria
ASV_10492	d__Bacteria
ASV_10493	d__Bacteria
ASV_10494	d__Bacteria
ASV_10495	d__Bacteria
ASV_10496	d__Bacteria
ASV_10497	d__Bacteria
ASV_10498	d__Bacteria
ASV_10499	d__Bacteria
ASV_105	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinae_B
ASV_1050	d__Bacteria
ASV_10500	d__Bacteria
ASV_10501	d__Bacteria
ASV_10502	d__Bacteria
ASV_10503	d__Bacteria
ASV_10504	d__Bacteria
ASV_10505	d__Bacteria
